name,year,total_budget,total_budget_high,total_budget_notes,team_size,team_size_high,dev_time,revenue,revenue_high,copies_sold,marketing_budget,notes,pre_orders,dev_budget,total_budget_source,team_size_source,dev_time_source,revenue_source,copies_sold_source,marketing_budget_source,pre_orders_source,dev_budget_source
FIFA 07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6M,N/A,Sales up until 2007,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/87770139/edmonton-journal/,N/A,N/A,N/A
Just Grandma and Me,1992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/87654558/the-los-angeles-times/,N/A,N/A,N/A
Mary-Kate and Ashley: Magical Mystery Mall,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,286K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/87425627/st-louis-post-dispatch/,N/A,N/A,N/A
Xplora1: Peter Gabriel's Secret World,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100K,N/A,Sales up until 1994,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/87053277/the-sydney-morning-herald/,N/A,N/A,N/A
Grand Theft Auto,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86887188/evening-standard/,N/A,N/A,N/A
Quake,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4M,N/A,Sales up until 1997,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86824402/daily-news/,N/A,N/A,N/A
Deer Hunter II,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20140517182146/http://www.thefreelibrary.com/GT+Interactive's+New+Sequel+to+'Deer+Hunter'+Taps+Into+Fast-growing...-a053054057,N/A,N/A,N/A
V-Rally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86177377/the-sydney-morning-herald/
Monster Truck Madness,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,144K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86177295/arizona-daily-star/,N/A,N/A,N/A
Destruction Derby,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1M,N/A,Sales up until 1996,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86177214/albuquerque-journal/,N/A,N/A,N/A
